Date,diversification_ratio
2022-03-17,1.736379579953512
2022-03-18,1.734398152819005
2022-03-21,1.721627269613711
2022-03-22,1.7315770075239696
2022-03-23,1.747042485768704
2022-03-24,1.7791913144904876
2022-03-25,1.7930348797388833
2022-03-28,1.7969447631630318
2022-03-29,1.8316949903062336
2022-03-30,1.8070250829411352
2022-03-31,1.8100989332147743
2022-04-01,1.8008106965711148
2022-04-04,1.8016528228990178
2022-04-05,1.7828782010715258
2022-04-06,1.7450776360889235
2022-04-07,1.7562352306597888
2022-04-08,1.7540718587941044
2022-04-11,1.7542711278926828
2022-04-12,1.7349070687442485
2022-04-13,1.7585142574928954
2022-04-14,1.7425803822684534
2022-04-18,1.7282608697730026
2022-04-19,1.7251605946637218
2022-04-20,1.7551851416491195
2022-04-21,1.7531916061102706
2022-04-22,1.733740953843901
2022-04-25,1.6993502994905847
2022-04-26,1.7053619699247162
2022-04-27,1.7063508403737375
2022-04-28,1.7106230988545053
2022-04-29,1.6784858233216358
2022-05-02,1.6502282805647324
2022-05-03,1.67028462216131
2022-05-04,1.6723656395318158
2022-05-05,1.6304378973369666
2022-05-06,1.5804915587297972
2022-05-09,1.5748635712863233
2022-05-10,1.5583277451249344
2022-05-11,1.5601086673428375
2022-05-12,1.5840678000673265
2022-05-13,1.599288530952759
2022-05-16,1.5815860572728364
2022-05-17,1.5824459101913135
2022-05-18,1.5807288338036798
2022-05-19,1.5868988832052116
2022-05-20,1.582307937458659
2022-05-23,1.5797438757733346
2022-05-24,1.5809401479238845
2022-05-25,1.5934451883364569
2022-05-26,1.5842927499351012
2022-05-27,1.5831155272352442
2022-05-31,1.5619393143077591
2022-06-01,1.543717058705053
2022-06-02,1.524094954703391
2022-06-03,1.5046527916126289
2022-06-06,1.4809265811688654
2022-06-07,1.4863487313129407
2022-06-08,1.4730469054304975
2022-06-09,1.4287162925285697
2022-06-10,1.4252433161378788
2022-06-13,1.4179657548438198
2022-06-14,1.3738199331547456
2022-06-15,1.3666414747234255
2022-06-16,1.3646464191997802
2022-06-17,1.3720812947194891
2022-06-21,1.3795446237898024
2022-06-22,1.3741560692867196
2022-06-23,1.3798220726026718
2022-06-24,1.3715706970063555
2022-06-27,1.3692448987775614
2022-06-28,1.3669235045683665
2022-06-29,1.356884605253516
2022-06-30,1.3665358430331151
2022-07-01,1.3693806233582613
2022-07-05,1.367203209697599
2022-07-06,1.3842875582932725
2022-07-07,1.3896566902407976
2022-07-08,1.3962279574693615
2022-07-11,1.3993743310021083
2022-07-12,1.405363369447637
2022-07-13,1.4084272325681804
2022-07-14,1.4126238214345608
2022-07-15,1.4114270057522802
2022-07-18,1.4094424995925505
2022-07-19,1.4144182161743646
2022-07-20,1.408244284677389
2022-07-21,1.4003290888372084
2022-07-22,1.394134270642985
2022-07-25,1.4042648624492384
2022-07-26,1.4156380029552984
2022-07-27,1.4107291244322242
2022-07-28,1.3939876999021954
2022-07-29,1.3894848899600483
2022-08-01,1.393634270145808
2022-08-02,1.4125856715920655
2022-08-03,1.40454045557627
2022-08-04,1.401011622521137
2022-08-05,1.4205160730164728
2022-08-08,1.4596889091891592
2022-08-09,1.4634127478885854
2022-08-10,1.4783858741385856
2022-08-11,1.4724525790019451
2022-08-12,1.4616109309236516
2022-08-15,1.4531118837215629
2022-08-16,1.4495286371297722
2022-08-17,1.4463621967122013
2022-08-18,1.4344815721731663
2022-08-19,1.4260950478121803
2022-08-22,1.409777559406169
2022-08-23,1.4038827261926203
2022-08-24,1.4001447602094583
2022-08-25,1.390457263863617
2022-08-26,1.3870258001339526
2022-08-29,1.383652759240593
2022-08-30,1.3916403542900944
2022-08-31,1.389065923853605
2022-09-01,1.3855423450640287
2022-09-02,1.3980709044760682
2022-09-06,1.404004144951429
2022-09-07,1.4001099091136162
2022-09-08,1.4006058648741304
2022-09-09,1.4021213595339068
2022-09-12,1.3974889743093255
2022-09-13,1.4048426858888234
2022-09-14,1.4452058750454153
2022-09-15,1.4429489849654047
2022-09-16,1.453858204620635
2022-09-19,1.4458679498859432
2022-09-20,1.440084312098338
2022-09-21,1.4235446361436463
2022-09-22,1.4202900857573446
2022-09-23,1.4177498039761782
2022-09-26,1.4094554206175773
2022-09-27,1.4001830106755697
2022-09-28,1.401177873818443
2022-09-29,1.3648395154104722
2022-09-30,1.3559178409458048
2022-10-03,1.3549360466082956
2022-10-04,1.313465373626852
2022-10-05,1.2993252155820585
2022-10-06,1.2984121619888571
2022-10-07,1.2965826110284067
2022-10-10,1.2837234310676993
2022-10-11,1.2753869043625747
2022-10-12,1.2754330953084323
2022-10-13,1.274541901289203
2022-10-14,1.2849982768006152
2022-10-17,1.2746600509479362
2022-10-18,1.2737228711073063
2022-10-19,1.2717814980786486
2022-10-20,1.2725434093742298
2022-10-21,1.2653963465414013
2022-10-24,1.2668508168705679
2022-10-25,1.271852906776301
2022-10-26,1.272033549252651
2022-10-27,1.2818263397529701
2022-10-28,1.2873375638890363
2022-10-31,1.2873731311767995
2022-11-01,1.2862352202612546
2022-11-02,1.2913065621643736
2022-11-03,1.2886472137619591
2022-11-04,1.286385325927218
2022-11-07,1.2911203694276088
2022-11-08,1.292402215064011
2022-11-09,1.2951061946750282
2022-11-10,1.2907620613913688
2022-11-11,1.243154076967952
2022-11-14,1.2407812101226512
2022-11-15,1.2403444512043436
2022-11-16,1.240348875277132
2022-11-17,1.2457555327884726
2022-11-18,1.2496810882971583
2022-11-21,1.2511902503907932
2022-11-22,1.250500613555076
2022-11-23,1.2470506179299894
2022-11-25,1.2491144952376283
2022-11-28,1.247926111755489
2022-11-29,1.2468679891628882
2022-11-30,1.2492311856910605
2022-12-01,1.2401948412121568
2022-12-02,1.24367559453003
2022-12-05,1.2426694165115917
2022-12-06,1.2357834388909879
2022-12-07,1.237911755380292
2022-12-08,1.2408238234642939
2022-12-09,1.243467281948938
2022-12-12,1.24435606610578
2022-12-13,1.2505588979297844
2022-12-14,1.248433484674168
2022-12-15,1.2505099088024987
2022-12-16,1.2484515234015052
2022-12-19,1.2483980674173618
2022-12-20,1.250322525840116
2022-12-21,1.2498948765467448
2022-12-22,1.248816910161507
2022-12-23,1.2474970908593
2022-12-27,1.2534439025278326
2022-12-28,1.2530391553178566
2022-12-29,1.2605396867085026
2022-12-30,1.2603458848564002
2023-01-03,1.2638086759779457
2023-01-04,1.2816576016814734
2023-01-05,1.2926159128005736
2023-01-06,1.289959955294441
2023-01-09,1.2777248626118851
2023-01-10,1.284489267088566
2023-01-11,1.2922236965139202
2023-01-12,1.2905366438521189
2023-01-13,1.2895143970890601
2023-01-17,1.283472083600612
2023-01-18,1.2953034401210273
2023-01-19,1.3056001300300388
2023-01-20,1.3071727372334419
2023-01-23,1.3192442823340147
2023-01-24,1.3239042284948004
2023-01-25,1.3187606395784957
2023-01-26,1.3100992278025243
2023-01-27,1.3208418213641415
2023-01-30,1.3147313867105246
2023-01-31,1.306304488900889
2023-02-01,1.2932778304199832
2023-02-02,1.2969522340553532
2023-02-03,1.3038355289360681
2023-02-06,1.297291330955961
2023-02-07,1.2980702979427257
2023-02-08,1.2878045798353677
2023-02-09,1.286959652429443
2023-02-10,1.282760953973119
2023-02-13,1.2886588684894864
2023-02-14,1.3781180886691462
2023-02-15,1.3765896976775058
2023-02-16,1.3796819367687225
2023-02-17,1.3774057065804408
2023-02-21,1.3694428601612134
2023-02-22,1.3566677094571535
2023-02-23,1.3585666360807742
2023-02-24,1.3567731836656753
2023-02-27,1.3560026506722869
2023-02-28,1.3557556917095188
2023-03-01,1.3573718458108524
2023-03-02,1.3646730763007744
2023-03-03,1.3616056182012612
2023-03-06,1.3737728209749733
2023-03-07,1.3693379930115288
2023-03-08,1.3651240807449325
2023-03-09,1.3876478139007926
2023-03-10,1.3843654932883398
2023-03-13,1.4084100271919235
2023-03-14,1.41841409345458
2023-03-15,1.4339667858679408
2023-03-16,1.4577241542812418
2023-03-17,1.4759905151900754
2023-03-20,1.4923719740894719
2023-03-21,1.5146074507224612
2023-03-22,1.5302973757309088
2023-03-23,1.5564405644007984
2023-03-24,1.5445662056007354
2023-03-27,1.552774512775678
2023-03-28,1.5775629106093967
2023-03-29,1.573556344666203
2023-03-30,1.5703203924685367
2023-03-31,1.5814966156484103
2023-04-03,1.594490228616415
2023-04-04,1.5957348239871856
2023-04-05,1.592258718306017
2023-04-06,1.5913126463501939
2023-04-10,1.5994128894955704
2023-04-11,1.6650805646701516
2023-04-12,1.6662069094508503
2023-04-13,1.6623360649785541
2023-04-14,1.6805595758864238
2023-04-17,1.6894845007603527
2023-04-18,1.6858891917009045
2023-04-19,1.6854501907967
2023-04-20,1.6566287549736742
2023-04-21,1.6546782938710605
2023-04-24,1.6422402866171157
2023-04-25,1.6374338686767027
2023-04-26,1.648313217200471
2023-04-27,1.6473623703394533
2023-04-28,1.6475609942598524
2023-05-01,1.636054064457014
2023-05-02,1.6488236059643395
2023-05-03,1.695558498999736
2023-05-04,1.7196690485579105
2023-05-05,1.704343884957995
2023-05-08,1.771712732405612
2023-05-09,1.7845290000755138
2023-05-10,1.7838080302635126
2023-05-11,1.7790361967588217
2023-05-12,1.8031717824146578
2023-05-15,1.7915165586994417
2023-05-16,1.8082027007957147
2023-05-17,1.7964252646478225
2023-05-18,1.7941169291693484
2023-05-19,1.8346100886660204
2023-05-22,1.833151144676998
2023-05-23,1.9216035487549559
2023-05-24,1.9088882574840136
2023-05-25,1.902116269131831
2023-05-26,1.9810832634878188
2023-05-30,1.934595019215228
2023-05-31,1.9436128388303788
2023-06-01,1.9367154960130981
2023-06-02,1.9015650504303667
2023-06-05,2.023361797150447
2023-06-06,2.0265427291946203
2023-06-07,2.0955921786611538
2023-06-08,2.053411468070574
2023-06-09,2.038854078553803
2023-06-12,1.9783017609904332
2023-06-13,1.9631728715796075
2023-06-14,1.9436028107446754
2023-06-15,1.8949074892715543
2023-06-16,1.8521553264127821
2023-06-20,1.8081060379051435
2023-06-21,1.8003938003703106
2023-06-22,1.7865300538243447
2023-06-23,1.7444629175249065
2023-06-26,1.7527771979203601
2023-06-27,1.7541075096989607
2023-06-28,1.7427326185224026
2023-06-29,1.7397097862851612
2023-06-30,1.7419106964311493
2023-07-03,1.7260099999786587
2023-07-05,1.7563492645307355
2023-07-06,1.7574173256788665
2023-07-07,1.7022279564753324
2023-07-10,1.7005577393852416
2023-07-11,1.700348989066036
2023-07-12,1.6907535371799343
2023-07-13,1.642942434991175
2023-07-14,1.6069143311420224
2023-07-17,1.603036602470852
2023-07-18,1.6100651604619538
2023-07-19,1.604287420922566
2023-07-20,1.6059616396219127
2023-07-21,1.5884241049379104
2023-07-24,1.5827150130614398
2023-07-25,1.5856339447294392
2023-07-26,1.5848536610929254
2023-07-27,1.5634276502731115
2023-07-28,1.5449703705736126
2023-07-31,1.518825351307248
2023-08-01,1.5267301013026233
2023-08-02,1.5156136045851405
2023-08-03,1.4329593520865285
2023-08-04,1.425842963076125
2023-08-07,1.4335380408169698
2023-08-08,1.4282304652697801
2023-08-09,1.4343735256301968
2023-08-10,1.438632806812014
2023-08-11,1.440564937869309
2023-08-14,1.4272668746903727
2023-08-15,1.4348730299047225
2023-08-16,1.4194165465374573
2023-08-17,1.4148187120065692
2023-08-18,1.4142114610577503
2023-08-21,1.4017668428124093
2023-08-22,1.4080207477982285
2023-08-23,1.40962224751953
2023-08-24,1.3813757169536474
2023-08-25,1.3782397033478782
2023-08-28,1.3622240772906358
2023-08-29,1.3747311836946252
2023-08-30,1.3423215960591985
2023-08-31,1.3350068766625705
2023-09-01,1.3472341332377629
2023-09-05,1.3340709070480887
2023-09-06,1.330044663612471
2023-09-07,1.3310253178979157
2023-09-08,1.3385175071225721
2023-09-11,1.3437787684920521
2023-09-12,1.3458727979306548
2023-09-13,1.340563356962523
2023-09-14,1.3305934309635572
2023-09-15,1.33585466408621
2023-09-18,1.3535959818745382
2023-09-19,1.3528379005217013
2023-09-20,1.3431730858680802
2023-09-21,1.3405926958642598
2023-09-22,1.3085296670305055
2023-09-25,1.2994737095481175
2023-09-26,1.303577932293553
2023-09-27,1.2907297658699821
2023-09-28,1.2929651117746734
2023-09-29,1.288969344562428
2023-10-02,1.3030769597753402
2023-10-03,1.3063829801814801
2023-10-04,1.2927184309607427
2023-10-05,1.3178386360684582
2023-10-06,1.316288049894424
2023-10-09,1.325012597799542
2023-10-10,1.3266157871062318
2023-10-11,1.3475622384996373
2023-10-12,1.3621956167558464
2023-10-13,1.3551061717159605
2023-10-16,1.3821480175155254
2023-10-17,1.399488655704243
2023-10-18,1.4022290637291255
2023-10-19,1.413216657999643
2023-10-20,1.4171974606884383
2023-10-23,1.424996743962413
2023-10-24,1.4314583647840111
2023-10-25,1.4289949261879327
2023-10-26,1.4261917091352903
2023-10-27,1.457816468127898
2023-10-30,1.4635558082324394
2023-10-31,1.4784842780125682
2023-11-01,1.50706319752444
2023-11-02,1.4815204044136334
2023-11-03,1.437741684693244
2023-11-06,1.423558654287664
2023-11-07,1.4204631212967955
2023-11-08,1.4276294601441042
2023-11-09,1.431601066991591
2023-11-10,1.4278910299737673
2023-11-13,1.4260887671887432
2023-11-14,1.4354988730409348
2023-11-15,1.4018716577969983
2023-11-16,1.4046632629386253
2023-11-17,1.4139435118819825
2023-11-20,1.408201130412725
2023-11-21,1.40569996458206
2023-11-22,1.4278049223377933
2023-11-24,1.4367027278674727
2023-11-27,1.4435901859879463
2023-11-28,1.4506015438985365
2023-11-29,1.4720530173198978
2023-11-30,1.4730718527653428
2023-12-01,1.4738342058298088
2023-12-04,1.46092621403009
2023-12-05,1.4587890882251777
2023-12-06,1.4662747595930516
2023-12-07,1.4726037347267011
2023-12-08,1.4755879336012407
2023-12-11,1.4796281694454598
2023-12-12,1.479495362255653
2023-12-13,1.4819540902948718
2023-12-14,1.441225171185526
2023-12-15,1.4338520315186527
2023-12-18,1.4344385778615605
2023-12-19,1.438072520452093
2023-12-20,1.4343651555833594
2023-12-21,1.4649893840795527
2023-12-22,1.4666778071929896
2023-12-26,1.4645652218330751
2023-12-27,1.4737634497336605
2023-12-28,1.4731582540885955
2023-12-29,1.470088839763596
2024-01-02,1.4674824836655855
2024-01-03,1.4617953539946635
2024-01-04,1.492589104371915
2024-01-05,1.4779276356268984
2024-01-08,1.4787520860463497
2024-01-09,1.4754774399539599
2024-01-10,1.4822647553797024
2024-01-11,1.4814799040491504
2024-01-12,1.485034869610269
2024-01-16,1.503199041548366
2024-01-17,1.4593683492505234
2024-01-18,1.4424384025097856
2024-01-19,1.445419099619177
2024-01-22,1.4470862547943422
2024-01-23,1.4476518124408482
2024-01-24,1.4430066265974941
2024-01-25,1.4430502742986497
2024-01-26,1.4414127409577577
2024-01-29,1.4586586963281414
2024-01-30,1.4382552987146966
2024-01-31,1.4348916417655588
2024-02-01,1.4355333517213695
2024-02-02,1.425761022948973
2024-02-05,1.4530233870561053
2024-02-06,1.4765284048094816
2024-02-07,1.4830399359081585
2024-02-08,1.4853971121798957
2024-02-09,1.4771938879546573
2024-02-12,1.4704029966407222
2024-02-13,1.483066159559701
2024-02-14,1.4336887495401707
2024-02-15,1.4294728351205102
2024-02-16,1.4784538433543077
2024-02-20,1.4794866475198656
2024-02-21,1.468921257110393
2024-02-22,1.4660416661202669
2024-02-23,1.4634453632889617
2024-02-26,1.4651316422224592
2024-02-27,1.4635314090075857
2024-02-28,1.4584002148484576
2024-02-29,1.4536517689945787
2024-03-01,1.4506465079059843
2024-03-04,1.4332709681160494
2024-03-05,1.4386658887251114
2024-03-06,1.459413542596477
2024-03-07,1.4666683434938503
2024-03-08,1.4514060771330541
2024-03-11,1.4391595585064962
2024-03-12,1.4367070133608855
2024-03-13,1.4413749690772675
2024-03-14,1.445207968290662
2024-03-15,1.4353743564923644
2024-03-18,1.4845119033477705
2024-03-19,1.4936937029772928
2024-03-20,1.4922425883284778
2024-03-21,1.4845636213103166
2024-03-22,1.4951214429343846
2024-03-25,1.4970247028100083
2024-03-26,1.4967170282570292
2024-03-27,1.4977913383834693
2024-03-28,1.4946931180243266
2024-04-01,1.4957504845524245
2024-04-02,1.5034834910462762
2024-04-03,1.5236129770589157
2024-04-04,1.5438985662093672
2024-04-05,1.542592997852504
2024-04-08,1.5640787694692553
2024-04-09,1.5630412823519606
2024-04-10,1.5553202322492279
2024-04-11,1.5127513601619509
2024-04-12,1.5121606464987898
2024-04-15,1.5075443851694719
2024-04-16,1.5107660492143142
2024-04-17,1.5263228536186335
2024-04-18,1.5489315202609615
2024-04-19,1.5445644169752804
2024-04-22,1.5541375883820905
2024-04-23,1.5777470725165401
2024-04-24,1.5680792673865793
2024-04-25,1.5623822396177307
2024-04-26,1.56698387358897
2024-04-29,1.5577874550569217
2024-04-30,1.5648579350366203
2024-05-01,1.5118471432923035
2024-05-02,1.5090448359654913
